"original_core_ids","tumor_ids"
"TMA 12 Variant x Level 15 T cell panel_Core[1,12,1]_[11810,37669].im3","tumor_1"
"HTMA 9 Variant 3 Level 15 T cell panel_Core[1,8,14]_[12636,49263].im3","tumor_2"
"HTMA 251 Variant 2 Level 15 T cell panel_Core[1,11,4]_[11508,43159].im3","tumor_3"
"HTMA 38 Variant 4 Level 15 T cell panel_Core[1,13,15]_[12020,53133].im3","tumor_4"
"TMA 6 Variant 1 Level 11 T cell panel_Core[1,1,4]_[17813,41339].im3","tumor_5"
"NSH1 Variant 3 Level 15 T cell panel_Core[1,3,19]_[17619,50712].im3","tumor_6"
"HTMA 254 Variant 2 Level 15 T cell panel_Core[1,11,20]_[12365,56112].im3","tumor_7"
"HTMA 38 Variant 4 Level 15 T cell panel_Core[1,14,5]_[10799,43586].im3","tumor_8"
"HTMA 254 Variant 2 Level 15 T cell panel_Core[1,15,2]_[8582,39316].im3","tumor_9"
"HTMA 251 Variant 2 Level 15 T cell panel_Core[1,19,14]_[4395,52604].im3","tumor_10"
"TMA 6 Variant 1 Level 11 T cell panel_Core[1,12,12]_[7226,48040].im3","tumor_11"
"HTMA 251 Variant 2 Level 15 T cell panel_Core[1,18,2]_[5394,41898].im3","tumor_12"
"TMA2 NHS4 Level 15 T cell panel_Core[1,17,5]_[4719,42705].im3","tumor_13"
"HTMA 254 Variant 2 Level 15 T cell panel_Core[1,19,11]_[4642,47476].im3","tumor_14"
"TMA10 Variant 1 Level 10 T cell panel_Core[1,12,15]_[10269,46648].im3","tumor_15"
"HTMA 38 Variant 4 Level 15 T cell panel_Core[1,15,15]_[10235,53109].im3","tumor_16"
"HTMA 76 Variant 2 Level 15 T cell panel_Core[1,5,15]_[14276,51756].im3","tumor_17"
"NSH1 Variant 3 Level 15 T cell panel_Core[1,3,10]_[17697,44302].im3","tumor_18"
"TMA 12 Variant x Level 15 T cell panel_Core[1,18,1]_[6362,38353].im3","tumor_19"
"TMA 6 Variant 1 Level 11 T cell panel_Core[1,10,9]_[9439,45518].im3","tumor_20"
"HTMA 38 Variant 4 Level 15 T cell panel_Core[1,13,13]_[12020,51420].im3","tumor_21"
"TMA2 NHS4 Level 15 T cell panel_Core[1,4,10]_[16011,46884].im3","tumor_22"
"TMA2 NHS4 Level 15 T cell panel_Core[1,10,18]_[10833,53695].im3","tumor_23"
"TMA 6 Variant 1 Level 11 T cell panel_Core[1,5,3]_[14244,40078].im3","tumor_24"
"TMA2 NHS4 Level 15 T cell panel_Core[1,13,10]_[8089,46931].im3","tumor_25"
"TMA2 NHS4 Level 15 T cell panel_Core[1,6,2]_[14116,39922].im3","tumor_26"
"HTMA 254 Variant 2 Level 15 T cell panel_Core[1,13,17]_[10509,53059].im3","tumor_27"
"HTMA 254 Variant 2 Level 15 T cell panel_Core[1,3,8]_[19391,44574].im3","tumor_28"
"TMA 12 Variant x Level 15 T cell panel_Core[1,11,18]_[13619,50087].im3","tumor_29"
"TMA10 Variant 1 Level 10 T cell panel_Core[1,3,20]_[17551,52955].im3","tumor_30"
"TMA 6 Variant 1 Level 11 T cell panel_Core[1,11,16]_[8152,52392].im3","tumor_31"
"HTMA 38 Variant 4 Level 15 T cell panel_Core[1,14,17]_[11258,54822].im3","tumor_32"
"TMA2 NHS4 Level 15 T cell panel_Core[1,3,10]_[16892,46884].im3","tumor_33"
"HTMA 9 Variant 3 Level 15 T cell panel_Core[1,6,9]_[14428,44553].im3","tumor_34"
"NSH1 Variant 3 Level 15 T cell panel_Core[1,15,10]_[5059,43805].im3","tumor_35"
"HTMA 251 Variant 2 Level 15 T cell panel_Core[1,3,21]_[18798,58133].im3","tumor_36"
"HTMA 9 Variant 3 Level 15 T cell panel_Core[1,13,2]_[8155,38026].im3","tumor_37"
"HTMA 76 Variant 2 Level 15 T cell panel_Core[1,13,3]_[7321,41382].im3","tumor_38"
"TMA 12 Variant x Level 15 T cell panel_Core[1,15,8]_[9765,43045].im3","tumor_39"
"HTMA 76 Variant 2 Level 15 T cell panel_Core[1,16,9]_[4633,46529].im3","tumor_40"
"TMA10 Variant 1 Level 10 T cell panel_Core[1,2,4]_[20038,36934].im3","tumor_41"
"HTMA 251 Variant 2 Level 15 T cell panel_Core[1,11,18]_[11842,55602].im3","tumor_42"
"HTMA 251 Variant 2 Level 15 T cell panel_Core[1,11,14]_[11723,52343].im3","tumor_43"
"TMA 12 Variant x Level 15 T cell panel_Core[1,4,13]_[19614,46328].im3","tumor_44"
"TMA10 Variant 1 Level 10 T cell panel_Core[1,4,16]_[17239,48314].im3","tumor_45"
"TMA10 Variant 1 Level 10 T cell panel_Core[1,17,7]_[6508,38724].im3","tumor_46"
"HTMA 76 Variant 2 Level 15 T cell panel_Core[1,17,13]_[3713,50280].im3","tumor_47"
"TMA 6 Variant 1 Level 11 T cell panel_Core[1,9,12]_[10129,48254].im3","tumor_48"
"HTMA 76 Variant 2 Level 15 T cell panel_Core[1,7,18]_[12349,54206].im3","tumor_49"
"HTMA 38 Variant 4 Level 15 T cell panel_Core[1,5,16]_[19327,53573].im3","tumor_50"
